ride_id,train_name,origin_station,destination_station,departure_time_origin,day_of_week,hour_of_day,delay_at_dest
-1029224351861462659-2504220740,ICE 2570,Berlin Hbf,Berlin Südkreuz,2025-04-22 12:37:00,1,12,12
-1029224351861462659-2504230740,ICE 2570,Frankfurt(Main)Hbf,Kassel-Wilhelmshöhe,2025-04-23 07:40:00,2,7,3
-1029224351861462659-2504230740,ICE 2570,Frankfurt(Main)Hbf,Göttingen,2025-04-23 07:40:00,2,7,2
-1029224351861462659-2504230740,ICE 2570,Frankfurt(Main)Hbf,Hildesheim Hbf,2025-04-23 07:40:00,2,7,4
-1029224351861462659-2504230740,ICE 2570,Frankfurt(Main)Hbf,Braunschweig Hbf,2025-04-23 07:40:00,2,7,1
-1029224351861462659-2504230740,ICE 2570,Frankfurt(Main)Hbf,Wolfsburg Hbf,2025-04-23 07:40:00,2,7,1
-1029224351861462659-2504230740,ICE 2570,Frankfurt(Main)Hbf,Berlin-Spandau,2025-04-23 07:40:00,2,7,0
-1029224351861462659-2504230740,ICE 2570,Frankfurt(Main)Hbf,Berlin Hbf,2025-04-23 07:40:00,2,7,1
-1029224351861462659-2504230740,ICE 2570,Frankfurt(Main)Hbf,Berlin Südkreuz,2025-04-23 07:40:00,2,7,-1
-1029224351861462659-2504230740,ICE 2570,Kassel-Wilhelmshöhe,Göttingen,2025-04-23 09:49:00,2,9,2
